order_id,review_score,review_comment_message,category_id,category_name
136cce7faa42fdb2cefd53fdc79a6098,2.0,fiquei triste por n ter me atendido.,8,General Complaints Without Insights
e6ce16cb79ec1d90b1da9085a6118aeb,1.0,Aguardando retorno da loja,7,Customer Support & Refund Issues
203096f03d82e0dffbc41ebc2e2bcfb7,2.0,"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso.",1,Late Delivery or Non-Delivery
fbf9ac61453ac646ce8ad9783d7d0af6,2.0,Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.,1,Late Delivery or Non-Delivery
acce194856392f074dbf9dada14d8d82,1.0,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",1,Late Delivery or Non-Delivery
f70a0aff17df5a6cdd9a7196128bd354,2.0,O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.,2,Incomplete Order / Missing Items
1790eea0b567cf50911c057cf20f90f9,1.0,"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",3,Wrong Item Delivered / Product Divergence
6ea2f835b4556291ffdc53fa0b3b95e8,1.0,"Inicialmente, na data da compra o produto era para ser entregue até 21/12. Hoje é dia 27/12 e não chegou ainda. ",1,Late Delivery or Non-Delivery
6ebaec694d7025e2ad4a05dba887c032,1.0,A cuba veio quebrada. Como efetuo barroca?,4,Damaged or Broken Product
9faeb9b2746b9d7526aef5acb08e2aa0,1.0,"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",2,Incomplete Order / Missing Items
66e4624ae69e7dc89bd50222b59f581f,1.0,"Pedir 2 capinhas,estou pagando as duas e só veio uma.Entao não estou nada satisfeita e espero que seja reparado esse erro.",2,Incomplete Order / Missing Items
a685d016c8a26f71a0bb67821070e398,1.0,Não recebi,1,Late Delivery or Non-Delivery
634e8f4c0f6744a626f77f39770ac6aa,1.0,Muito bom o produto e preço cobrado!,8,General Complaints Without Insights
86f21bf63784876b9fd6d35f46581d72,1.0,"Os outros produtos, a loja ofereceu mas não cumpriu com a entrega.",1,Late Delivery or Non-Delivery
af5b0604e113e1526593d505a26ef39d,1.0,"Boa noite, não recebi o escorredor de louça, Continuo no aguardo",1,Late Delivery or Non-Delivery
9d531c565e28c3e0d756192f84d8731f,1.0,Não recebi o produto até a presente data na minha residência. ,1,Late Delivery or Non-Delivery
01a75ac3dd000b7628a684be97c29234,1.0,COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,1,Late Delivery or Non-Delivery
35660aec0cc42b6257e24281ee0e6255,1.0,mais ou menos o produto veio faltando uma peca,2,Incomplete Order / Missing Items
5164933efe0cd14f31424b9badf81f19,1.0,Produto não corresponde às expectativas ,6,Poor Quality / Below Expectations
741fd1b80f015f170a7f458cf86769b8,1.0,Nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,4,Damaged or Broken Product
f4471dae8c482f51aa1826cd9f5d4433,1.0,Recebi um produto velho ,4,Damaged or Broken Product
33a3edb84b9df4cb49546859b990ac6d,1.0,Minha opinião é que se comprei o produto ele tinha que ser entregue e não receber um notificação que seria dado como entregue o produto...então a empresa me devolva meu dinheiro!!,1,Late Delivery or Non-Delivery
